msg_type,mass,time,ax,ay,az,ax_local,ay_local,az_local,pitch,roll,yaw,vx,vy,vz,vx_local,vy_local,vz_local,x,y,z,qw,qx,qy,qz,apogee,baro_altitude,altitude,baro_pressure,baro_temperature,air_pressure,air_density,air_temperature,drag_coefficient
138,0.4779999852180481,0.0,0.37140727043151855,-0.4831186830997467,-0.017463721334934235,-0.122606061398983,-0.5968578457832336,0.01933901757001877,-0.006657793186604977,0.060271184891462326,0.8577978014945984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9089606404304504,0.028785381466150284,0.009504446759819984,0.41576796770095825,0.0,0.0,0.0,1014.6425170898438,22.9375,3.271218533603354e-20,6.31432058195428e-35,-2.2905461908057584e+24,0.0,-1.9563277756395197e+37
138,0.4779999852180481,0.0,0.1490451842546463,-0.2678071856498718,-0.06704334169626236,-0.10489887744188309,-0.2903759181499481,-0.05573470517992973,0.00028358708368614316,0.03920286148786545,0.8572404980659485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9093626737594604,0.017768148332834244,0.00827505998313427,0.4155321717262268,0.0,0.0,0.0,1014.6425170898438,22.9375,-1.4725310802459717,6.179893262449391e-38,-0.0057942504063248634,0.0,3.106029620300036e-25
138,0.4779999852180481,0.0,0.17635945975780487,-0.13750706613063812,-0.05137065798044205,0.011830814182758331,-0.22448262572288513,-0.046005506068468094,0.005607885774224997,0.02366579696536064,0.8569186925888062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9095496535301208,0.009598072618246078,0.00746637349948287,0.41540729999542236,0.0,0.0,0.0,1014.6425170898438,22.9375,-1.9275847985348963e+34,-5.068364680690865e+36,-9.091352853646175e-16,0.0,1.8006385243856365e+26
138,0.4779999852180481,0.0,0.11489106714725494,-0.05457110330462456,-0.006391563452780247,0.03404300659894943,-0.12260283529758453,-0.005307420622557402,0.007876803167164326,0.00665771821513772,0.8568108677864075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9096189737319946,0.0013918987242504954,0.004965329542756081,0.4154016971588135,0.0,0.0,0.0,1014.6425170898438,22.9375,1.80051828481409e-13,-1.6731051206588745,8.572894444531533e+23,0.0,4.850295991571352e-25
138,0.4779999852180481,0.0,-0.011079593561589718,0.03292679414153099,-0.04876617342233658,0.017997141927480698,0.029981523752212524,-0.04860272258520126,0.0077042607590556145,-0.0008627973147667944,0.8565735816955566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909667432308197,-0.001992271514609456,0.0033250420819967985,0.4153096675872803,0.0,-0.14581814408302307,0.0,1014.4450073242188,22.8125,3.271218533603354e-20,6.31432058195428e-35,-2.2905461908057584e+24,0.0,-1.9563277756395197e+37
138,0.4779999852180481,0.0,0.019892804324626923,0.02063051611185074,-0.04165271669626236,0.02889176830649376,-0.0014366962714120746,-0.04146626964211464,0.006617364939302206,-0.002786268014460802,0.8577895760536194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.909414529800415,-0.002642909763380885,0.0024296538904309273,0.41586577892303467,0.0,-0.14581814408302307,0.0,1014.4450073242188,22.8125,-1.4725310802459717,6.179893262449391e-38,-0.0057942504063248634,0.0,3.106029620300036e-25
138,0.4779999852180481,0.0,0.016652848571538925,0.02249095030128956,-0.027166403830051422,0.028142141178250313,0.0022062312345951796,-0.026912854984402657,0.008740556426346302,-0.003891711588948965,0.8582874536514282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9093047976493835,-0.0035878224298357964,0.0031643437687307596,0.4160936176776886,0.0,-0.14581814408302307,0.0,1014.4450073242188,22.8125,-1.9275847985348963e+34,-5.068364680690865e+36,-9.091352853646175e-16,0.0,1.8006385243856365e+26
138,0.4779999852180481,0.0,0.02702808752655983,0.027386115863919258,-0.020151175558567047,0.03854052349925041,-0.002558795502409339,-0.019865471869707108,0.007602962199598551,-0.0026716662105172873,0.8599107265472412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9089711904525757,-0.0027988108340650797,0.002898680279031396,0.41682979464530945,0.0,-0.14581814408302307,0.0,1014.4450073242188,22.8125,1.80051828481409e-13,-1.6731051206588745,8.572894444531533e+23,0.0,4.850295991571352e-25
138,0.4779999852180481,0.0,-0.07807505130767822,0.03690841421484947,0.08775325864553452,-0.023549692705273628,0.08298463374376297,0.08784814924001694,0.007859861478209496,-0.0033439735416322947,0.8612905740737915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9086818695068359,-0.003159888321533799,0.0028731399215757847,0.4174577593803406,0.0,1.496513843536377,0.0,1014.6199951171875,22.9375,3.271218533603354e-20,6.31432058195428e-35,-2.2905461908057584e+24,0.0,-1.9563277756395197e+37
138,0.4779999852180481,0.0,-0.016805704683065414,0.009622742421925068,-0.07700828462839127,-0.002815640764310956,0.01934174634516239,-0.07696216553449631,0.01071110088378191,-0.004175648558884859,0.8616533875465393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9085975289344788,-0.0041335937567055225,0.003994245082139969,0.4176236689090729,0.0,1.496513843536377,0.0,1014.6199951171875,22.9375,-1.4725310802459717,6.179893262449391e-38,-0.0057942504063248634,0.0,3.106029620300036e-25
