msg_type,mass,time,ax,ay,az,ax_local,ay_local,az_local,pitch,roll,yaw,vx,vy,vz,vx_local,vy_local,vz_local,x,y,z,qw,qx,qy,qz,apogee,baro_altitude,altitude,baro_pressure,baro_temperature,air_density,drag_coefficient,p,i,d,pid,brake_target_deployment
138,0.5,0.0,-1.9457201957702637,2.952845573425293,-0.2505321800708771,3.216190814971924,1.069685697555542,1.0390191078186035,0.34328633546829224,-0.136705219745636,1.806812047958374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5992537140846252,-0.17549341917037964,0.05261277034878731,0.7793075442314148,0.0,-0.11679857969284058,0.0,1021.9871215820312,8.076189041137695,1.2675378322601318,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,-5.31827082372871e-10
138,0.5,0.0,-1.806817650794983,2.8758387565612793,-0.2493486851453781,3.1038079261779785,0.9923239946365356,0.989285945892334,0.34277576208114624,-0.13842719793319702,1.7958927154541016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6033892631530762,-0.17552872002124786,0.05274317413568497,0.7760933041572571,0.0,0.0,0.0,1021.978515625,8.072683334350586,1.2675429582595825,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-1.8657000064849854,3.048649549484253,-0.286711722612381,3.2760071754455566,1.0437560081481934,1.017566442489624,0.34198853373527527,-0.1400894969701767,1.7848182916641235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6075946688652039,-0.1754406839609146,0.05282554775476456,0.7728198170661926,0.0,0.11581792682409286,0.0,1021.9640502929688,8.075020790100098,1.2675144672393799,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-1.8789751529693604,2.917821168899536,-0.2717151939868927,3.1415655612945557,1.120951771736145,0.9959319233894348,0.34142133593559265,-0.14143961668014526,1.7744051218032837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6115373373031616,-0.17536213994026184,0.0530400387942791,0.7697066068649292,0.0,0.0,0.0,1021.97265625,8.07735824584961,1.2675145864486694,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-1.8168535232543945,2.960150957107544,-0.2565613090991974,3.1516811847686768,1.0837790966033936,1.0106407403945923,0.34096166491508484,-0.14284802973270416,1.7634038925170898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6156757473945618,-0.17532871663570404,0.05331835895776749,0.7663887739181519,0.0,-0.09324267506599426,0.0,1021.9928588867188,8.078526496887207,1.2675343751907349,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-1.8534691333770752,3.0278234481811523,-0.33271124958992004,3.234815835952759,1.1474391222000122,0.9658636450767517,0.33985814452171326,-0.144259974360466,1.752930998802185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6196464896202087,-0.17507204413414001,0.05334470048546791,0.7632390260696411,0.0,0.0,0.0,1021.9957885742188,8.076189041137695,1.2675485610961914,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-1.7965724468231201,3.0314700603485107,-0.2067585438489914,3.1747095584869385,1.1100728511810303,1.0719026327133179,0.3387903571128845,-0.14561520516872406,1.7419909238815308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6237807273864746,-0.1748030185699463,0.05344361066818237,0.7599188685417175,0.0,-0.27972546219825745,0.0,1022.01025390625,8.078526496887207,1.2675559520721436,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-1.748551845550537,3.039193630218506,-0.19953159987926483,3.160036325454712,1.0955225229263306,1.0713249444961548,0.33797866106033325,-0.1471232771873474,1.7311843633651733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6278125047683716,-0.1746845543384552,0.053554438054561615,0.7566109895706177,0.0,0.0,0.0,1021.9871215820312,8.07735824584961,1.2675325870513916,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-1.8222395181655884,3.080946922302246,-0.1597328633069992,3.18412709236145,1.1889829635620117,1.1339037418365479,0.33670133352279663,-0.1486433446407318,1.7200597524642944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6319836974143982,-0.17439362406730652,0.05353719741106033,0.7531989216804504,0.0,0.3724915385246277,0.0,1021.9639282226562,8.080863952636719,1.2674880027770996,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-1.7475849390029907,3.109103202819824,-0.19991402328014374,3.201535224914551,1.1511731147766113,1.0887106657028198,0.33547812700271606,-0.14994002878665924,1.7095119953155518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6359351277351379,-0.1740725338459015,0.053569529205560684,0.749937891960144,0.0,0.0,0.0,1021.9986572265625,8.07735824584961,1.2675468921661377,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-1.6367430686950684,3.0366718769073486,-0.2159758061170578,3.112523078918457,1.0954104661941528,1.0290861129760742,0.3343910872936249,-0.15084998309612274,1.6982028484344482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6401764154434204,-0.17366144061088562,0.05385523661971092,0.7463958859443665,0.0,0.16244126856327057,0.0,1021.9727172851562,8.075020790100098,1.2675251960754395,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-1.7151834964752197,3.0431220531463623,-0.23453716933727264,3.121680974960327,1.2077043056488037,1.0265456438064575,0.3330530524253845,-0.1520693600177765,1.6874672174453735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6441789269447327,-0.17327669262886047,0.053890109062194824,0.7430315017700195,0.0,0.0,0.0,1021.9784545898438,8.076189041137695,1.2675271034240723,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-1.6771764755249023,3.017468214035034,-0.23449616134166718,3.0800588130950928,1.211315631866455,1.0093424320220947,0.33165809512138367,-0.15317490696907043,1.675966501235962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6484614014625549,-0.17281845211982727,0.05401155352592468,0.7393955588340759,0.0,-0.09324344247579575,0.0,1021.989990234375,8.078526496887207,1.2675307989120483,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
138,0.5,0.0,-1.5619466304779053,3.0224673748016357,-0.1602793186903,3.0375566482543945,1.1214512586593628,1.0564439296722412,0.33016887307167053,-0.15425769984722137,1.6650789976119995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.652507483959198,-0.17233984172344208,0.05405331403017044,0.7359365820884705,0.0,0.0,0.0,1021.9813232421875,8.078526496887207,1.2675200700759888,0.38999998569488525,0.0,0.0,0.0,0.0,0.0,1.401298464324817e-45
