msg_type,mass,time,ax,ay,az,ax_local,ay_local,az_local,pitch,roll,yaw,vx,vy,vz,vx_local,vy_local,vz_local,x,y,z,qw,qx,qy,qz,apogee,baro_altitude,altitude,baro_pressure,baro_temperature,air_pressure,air_density,air_temperature,drag_coefficient,
138,0.477999985218048,57.0256652832031,0.167018577456474,-0.16272084414959,0.02108284085989,0.232274815440178,-0.0158888939768076,0.0247551184147596,0.0149274803698063,0.0126233100891113,-0.702834129333496,0,0,0,0,0,0,0,0,0,0.938820958137512,0.00849486328661442,0.00483485590666533,-0.344255000352859,0,25062.25,0,1002.48999023438,11.4375,6.54245645425231E-020,6.3190960277545E-035,-1.96942526997062E+024,0,-1.95632777563952E+037
138,0.477999985218048,57.1260566711426,0.109317392110825,0.021566042676568,0.109923325479031,0.0684520974755287,0.0884451568126678,0.109498366713524,0.0047923605889082,0.00856363214552403,-0.708451688289642,0,0,0,0,0,0,0,0,0,0.93789666891098,0.00484708556905389,0.000762205803766847,-0.346868425607681,0,25062.25,0,1002.48999023438,11.4375,-0.492644488811493,6.17989326244939E-038,-0.00000000000134906517,0,3.12218549163896E-025
138,0.477999985218048,57.2264442443848,0.182277694344521,0.0252853166311979,-0.0833425894379616,0.121231779456139,0.137726426124573,-0.0845229551196098,-0.00154820806346834,0.00719582242891192,-0.712813377380371,0,0,0,0,0,0,0,0,0,0.937147498130798,0.00310169346630573,-0.00198079040274024,-0.348902642726898,0,25062.25,0,1002.48999023438,11.4375,-7.1883687358173E+025,-8.10938348910538E+037,-4.47574538669777E-016,0,4.53181945645446E+025
138,0.477999985218048,57.326831817627,0.0268558971583843,0.134239822626114,-0.0486946478486061,-0.068671852350235,0.118465855717659,-0.0486046187579632,-0.00701454840600491,0.00329730450175703,-0.720061242580414,0,0,0,0,0,0,0,0,0,0.93587726354599,0.000307310721836984,-0.00386322964914143,-0.352293401956558,0,25062.25,0,1002.48999023438,11.4375,0.00000000004563852074,nan,8.57289444453153E+023,0,1.13012038367492E-034
138,0.477999985218048,57.4276466369629,0.060742300003767,0.0767113342881203,-0.0265818014740944,-0.00528577482327819,0.0975887924432755,-0.0270031653344631,-0.00713907647877932,0.00469662714749575,-0.721845149993897,0,0,0,0,0,0,0,0,0,0.935562133789063,0.000936453463509679,-0.00416882336139679,-0.353125065565109,0,25057.375,0,1002.29498291016,11.3125,6.54245645425231E-020,6.3190960277545E-035,-1.96942526997062E+024,0,-1.95632777563952E+037
138,0.477999985218048,57.5280342102051,0.0735145807266235,0.0954215228557587,-0.0623846426606178,-0.0086022149771452,0.119890905916691,-0.0628759190440178,-0.00747784180566669,0.00461828149855137,-0.724036753177643,0,0,0,0,0,0,0,0,0,0.93517416715622,0.00083526165690273,-0.00431437650695443,-0.354149580001831,0,25057.375,0,1002.29498291016,11.3125,-0.492644488811493,6.17989326244939E-038,-0.00000000000134906517,0,3.12218549163896E-025
138,0.477999985218048,57.6284255981445,0.0757888108491898,0.141967847943306,-0.0338125601410866,-0.038379829376936,0.156231060624123,-0.0340662710368633,-0.0090530663728714,0.00383926369249821,-0.729215979576111,0,0,0,0,0,0,0,0,0,0.934251666069031,0.000179332317202352,-0.00491346791386604,-0.356569230556488,0,25057.375,0,1002.29498291016,11.3125,-7.1883687358173E+025,-8.10938348910538E+037,-4.47574538669777E-016,0,4.53181945645446E+025
138,0.477999985218048,57.7288131713867,0.0983385518193245,0.265651106834412,0.0665206536650658,-0.10376300662756,0.263613849878311,0.0663745701313019,-0.00839927513152361,0.00386911653913558,-0.731711745262146,0,0,0,0,0,0,0,0,0,0.933807075023651,0.000304087239783257,-0.00461377017199993,-0.357735812664032,0,25057.375,0,1002.29498291016,11.3125,0.00000000004563852074,nan,8.57289444453153E+023,0,1.13012038367492E-034
138,0.477999985218048,57.8426170349121,0.111456170678139,0.0250925216823816,-0.0257988348603249,0.065611369907856,0.0932351276278496,-0.0268297325819731,-0.00942939892411232,0.00440817372873426,-0.734965920448303,0,0,0,0,0,0,0,0,0,0.933221995830536,0.000363062339602038,-0.00519175548106432,-0.359251588582993,0,25061.4375,0,1002.45751953125,11.375,6.54245645425231E-020,6.3190960277545E-035,-1.96942526997062E+024,0,-1.95632777563952E+037
138,0.477999985218048,57.9430046081543,0.0591175556182861,0.0751964822411537,-0.0408087149262428,-0.0067978729493916,0.0951977521181107,-0.041300717741251,-0.00729353167116642,0.00567414332181215,-0.734265267848969,0,0,0,0,0,0,0,0,0,0.933350384235382,0.00133900879882276,-0.00442206719890237,-0.358925700187683,0,25061.4375,0,1002.45751953125,11.375,-0.492644488811493,6.17989326244939E-038,-0.00000000000134906517,0,3.12218549163896E-025
