msg_type,mass,time,ax,ay,az,ax_local,ay_local,az_local,pitch,roll,yaw,vx,vy,vz,vx_local,vy_local,vz_local,x,y,z,qw,qx,qy,qz,apogee,baro_altitude,altitude,baro_pressure,baro_temperature,air_pressure,air_density,air_temperature,drag_coefficient
138,0.4169999957084656,0.0,6.912692070007324,3.760254383087158,-4.261064052581787,8.345989227294922,-1.2062910795211792,-2.9948959350585938,0.8646181225776672,-2.8351805210113525,0.46683868765830994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039033714681863785,-0.8878130912780762,-0.1453598588705063,0.43488624691963196,0.0,25073.4375,0.0,1002.9375,25.5625,3.354608355988929e-20,6.31432058195428e-35,-1.9694252699706225e+24,0.0,-1.9895584755341426e+37
138,0.4169999957084656,0.0,7.223627090454102,2.7695226669311523,-3.966015338897705,8.214601516723633,0.13994216918945312,-2.842496871948242,0.7905851602554321,-2.8295769691467285,0.4964883327484131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04553107172250748,-0.8984243273735046,-0.16600152850151062,0.4039747416973114,0.0,25073.4375,0.0,1002.9375,25.5625,-1.9705779552459717,6.179893262449391e-38,-0.0057942504063248634,0.0,2.0355675719598315e-20
138,0.4169999957084656,0.0,7.139668941497803,3.365798234939575,-3.8279995918273926,8.31912899017334,-0.46040233969688416,-2.7451510429382324,0.7725709676742554,-2.854167938232422,0.4831937849521637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039601270109415054,-0.9030444025993347,-0.16694730520248413,0.39377981424331665,0.0,25073.4375,0.0,1002.9375,25.5625,-1.9296130394952615e+34,-8.109383489105384e+37,-8.961248592947915e-16,0.0,4.531819456454457e+25
138,0.4169999957084656,0.0,6.746743202209473,2.8126068115234375,-3.0957422256469727,7.404567718505859,-0.3358621597290039,-2.84102463722229,0.7660331726074219,-2.8715336322784424,0.4544219672679901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03823643550276756,-0.9068038463592529,-0.15801861882209778,0.3889298141002655,0.0,25073.4375,0.0,1002.9375,25.5625,1.7827547164200874e-13,nan,2.512381248477428e-15,0.0,4.854334959406084e-25
138,0.4169999957084656,0.0,6.767760276794434,2.956166982650757,-3.1844115257263184,7.573530197143555,-0.3367231786251068,-2.6849844455718994,0.747414767742157,-2.871295928955078,0.46498796343803406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03871478885412216,-0.9089993834495544,-0.1646801084280014,0.3809111416339874,0.0,-0.3125,0.0,2621.427490234375,25.5625,3.354608355988929e-20,6.31432058195428e-35,-1.9694252699706225e+24,0.0,-1.9895584755341426e+37
138,0.4169999957084656,0.0,6.136397838592529,3.166168212890625,-3.137798309326172,7.2500457763671875,-0.5958539247512817,-2.1462948322296143,0.7245968580245972,-2.8709681034088135,0.4762813448905945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03973834961652756,-0.9116622805595398,-0.172102689743042,0.3710319995880127,0.0,-0.3125,0.0,2621.427490234375,25.5625,-1.9705779552459717,6.179893262449391e-38,-0.0057942504063248634,0.0,2.0355675719598315e-20
138,0.4169999957084656,0.0,6.422854423522949,3.119983673095703,-2.812398910522461,7.244382381439209,-0.42509523034095764,-2.4968278408050537,0.7102059125900269,-2.873638153076172,0.48737069964408875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03840326890349388,-0.9129558801651001,-0.1791277676820755,0.36461132764816284,0.0,-0.3125,0.0,2621.427490234375,25.5625,-1.9296130394952615e+34,-8.109383489105384e+37,-8.961248592947915e-16,0.0,4.531819456454457e+25
138,0.4169999957084656,0.0,6.454392910003662,2.9964661598205566,-2.4326963424682617,7.0096025466918945,-0.2562202215194702,-2.711986541748047,0.695114254951477,-2.8637194633483887,0.5046178698539734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041876863688230515,-0.9134367108345032,-0.18677404522895813,0.3591470420360565,0.0,-0.3125,0.0,2621.427490234375,25.5625,1.7827547164200874e-13,nan,2.512381248477428e-15,0.0,4.854334959406084e-25
138,0.4169999957084656,0.0,6.135590076446533,3.229644775390625,-2.5024209022521973,6.96943473815918,-0.3563591241836548,-2.3742904663085938,0.6756078600883484,-2.8564507961273193,0.5315477848052979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04318500682711601,-0.9134858250617981,-0.1998591274023056,0.351747989654541,0.0,-0.1875,0.0,2621.4326171875,25.5625,3.354608355988929e-20,6.31432058195428e-35,-1.9694252699706225e+24,0.0,-1.9895584755341426e+37
138,0.4169999957084656,0.0,5.9408416748046875,3.2381718158721924,-2.358722686767578,6.794994354248047,-0.38254910707473755,-2.2413740158081055,0.6566746234893799,-2.8604397773742676,0.5366542935371399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04323241114616394,-0.915677547454834,-0.20491330325603485,0.3430269956588745,0.0,-0.1875,0.0,2621.4326171875,25.5625,-1.9705779552459717,6.179893262449391e-38,-0.0057942504063248634,0.0,2.0355675719598315e-20
